"","value","IdNumber","Nome","Paises","Rating","Flag","data"
"107","2194210        Alves Ferreira, Carlos Antonio                               BRA M                                1567  0   20 1956  i   ","2194210","Ferreira, Carlos","BRA","1567","i","DEC23"
"108","2189232        Alves Filho, Alfredo Cerqueira                               BRA M                                1830  0   40 2000  i   ","2189232","Filho, Alfredo","BRA","1830","i","DEC23"
"109","22732098       Alves Jr, Jorge Luiz Barbosa                                 BRA M                                1800  0   40 1979  i   ","2273209","Jr, Jorge","BRA","1800","i","DEC23"
"110","22704167       Alves Junior,Jose Onofre                                     BRA M                                1399  0   40 1975  i   ","2270416","Junior,Jose","BRA","1399","i","DEC23"
"111","2132036        Alves Silva, Luis Fernando                                   BRA M                                1705  0   20 1991  i   ","2132036","Silva, Luis","BRA","1705","i","DEC23"
"112","2153106        Alves, Alessandro Cunha                                      BRA M                                1816  0   20 1978      ","2153106","Alves, Alessandro","BRA","1816",NA,"DEC23"
"113","2145103        Alves, Danilo Vieira                                         BRA M                                1743  0   20 1983      ","2145103","Alves, Danilo","BRA","1743",NA,"DEC23"
"114","22767070       Alves, Emanuel Filipe Neves                                  BRA M                                1233  0   40 2005  i   ","2276707","Alves, Emanuel","BRA","1233","i","DEC23"
"115","22792449       Alves, Gabriel Carissimo                                     BRA M                                1539  0   40 2005      ","2279244","Alves, Gabriel","BRA","1539",NA,"DEC23"
"116","22710205       Alves, Gabriel Felipe                                        BRA M                                1581  0   40 1999  i   ","2271020","Alves, Gabriel","BRA","1581","i","DEC23"
"117","2108682        Alves, Humberto Dos Santos                                   BRA M                                1741  0   20 1971  i   ","2108682","Alves, Humberto","BRA","1741","i","DEC23"
"118","2117720        Alves, Job Figueiredo Silverio                               BRA M                                1857  0   40 1969  i   ","2117720","Alves, Job","BRA","1857","i","DEC23"
"119","2152002        Alves, Josue Pires                                           BRA M                                1686  0   20 1982      ","2152002","Alves, Josue","BRA","1686",NA,"DEC23"
"120","44708963       Alves, Lucas Fernando                                        BRA M                                1216  6   40 2008      ","4470896","Alves, Lucas","BRA","1216",NA,"DEC23"
"121","22785183       Alves, Luiz Henrique De Araujo                               BRA M                                1814  0   40 2007      ","2278518","Alves, Luiz","BRA","1814",NA,"DEC23"
"122","324226816      Alves, Marcos Vilhena                                        BRA M                                1607  0   40 1987  i   ","3242268","Alves, Marcos","BRA","1607","i","DEC23"
"123","2152266        Alves, Matheus Oliveira                                      BRA M                                1523  0   40 1999  i   ","2152266","Alves, Matheus","BRA","1523","i","DEC23"
"124","2112833        Alves, Nilton Gomes                                          BRA M                                2039  0   40 1972  i   ","2112833","Alves, Nilton","BRA","2039","i","DEC23"
"125","2100800        Alves, Norberto Suzigan Fonseca                              BRA M                                1897  0   40 1993  i   ","2100800","Alves, Norberto","BRA","1897","i","DEC23"
"126","2189704        Alves, Pericles Guedes                                       BRA M                                1003  0   40 1963  i   ","2189704","Alves, Pericles","BRA","1003","i","DEC23"
"127","22756027       Alves, Peterson Reinan                                       BRA M                                1670  0   40 1988  i   ","2275602","Alves, Peterson","BRA","1670","i","DEC23"
"128","22785728       Alves, Ricardo C Chaves A de Arruda                          BRA M                                1406  0   40 2013      ","2278572","Alves, Ricardo","BRA","1406",NA,"DEC23"
"129","44737416       Alves, Sarah Cristina Dos Santos                             BRA F                                1352  8   40 2009  w   ","4473741","Alves, Sarah","BRA","1352","w","DEC23"
"130","2110253        Alves, Sergio Carlos                                         BRA M                                1842  0   40 1978  i   ","2110253","Alves, Sergio","BRA","1842","i","DEC23"
"131","2129302        Alves, Sidney David                                          BRA M                                1439  0   20 1960  i   ","2129302","Alves, Sidney","BRA","1439","i","DEC23"
"132","2112329        Alves, Tenilson                                              BRA M                                2045  0   20 1988  i   ","2112329","Alves, Tenilson","BRA","2045","i","DEC23"
"133","2172453        Alves, Vinicius Rodrigues                                    BRA M                                1538  0   40 1997  i   ","2172453","Alves, Vinicius","BRA","1538","i","DEC23"
